一	yī 	one
巨大	jùdà	huge
已经	yǐjīng	already
已经过了	yǐjīngguòle	already passed
布朗	bùlǎng	brown
带着	dàizhe	with
并	bìng	and
幸福	xìngfú	happy
建造	jiànzào	put up
开始	kāishǐ	start
开心	kāixīn	happy
当	dāng	when
往	wǎng	to
往前走	wǎng qián zǒu	go forward
很快	hěn kuài	quickly
很长	hěn zhǎng	very long
必须	bìxū	have to
快	kuài	fast
想	xiǎng	miss you
感到	gǎndào	feel
成为	chéngwéi	become
战胜	zhànshèng	victory
房子	fángzi	house
房门	fáng mén	door
所	suǒ	place
所比	suǒ bǐ	compared
所砖	suǒ zhuān	brick
所草	suǒ cǎo	grass
才智	cáizhì	talent
扔	rēng	throw
扛	káng	carry
找到了	zhǎodàole	found it
把	bǎ	put
抓住	zhuā zhù	grab
拉着	lāzhe	pull
拔	bá	pull
拔了	bále	pulled out
捉住	zhuō zhù	catch
掀起	xiānqǐ	set off
搅拌器	jiǎobàn qì	blender
摘	zhāi	pick
撞倒	zhuàng dǎo	run down
敲响	qiāo xiǎng	ringing
敲着门	qiāozhe mén	knocking on the door
斯	sī	s
旋转木马	xuánzhuǎn mùmǎ	carousel
早上	zǎoshang	morning
时	shí	time
时候	shíhòu	time
昨天	zuótiān	yesterday
朋友	péngyǒu	friend
朝山	cháoshān	mountain
木	mù	wood
木房	mù fáng	wooden house
木材	mùcái	wood
木桶	mù tǒng	wooden barrel
条	tiáo	article
条路	tiáo lù	road
来	lái	come
来到	lái dào	come
来将	lái jiāng	come
来敲	lái qiāo	come knock
来时候	lái shíhòu	when
极	jí	pole
样死	yàng sǐ	dead
栽进	zāi jìn	planting
棵	kē	tree
正在树上	zhèngzài shù shàng	on the tree
水花	shuǐhuā	water flower
没办法	méi bànfǎ	no way
沿着	yánzhe	along
溅起	jiàn qǐ	splash
滚	gǔn	roll
滚到	gǔn dào	roll to
滚啊滚	gǔn a gǔn	rolling
满意	mǎnyì	satisfaction
满满	mǎn mǎn	full
炉子	lúzǐ	stove
烟囱	yāncōng	chimney
烧开	shāo kāi	boil
然后	ránhòu	then
爬	pá	climb
独自	dúzì	alone
猪	zhū	pig
现在	xiànzài	just now
生气	shēngqì	pissed off
生活	shēnghuó	life
用	yòng	use
痛	tòng	pain
盖	gài	cover
盖了	gàile	covered
看到	kàn dào	see
着追	zhe zhuī	chasing
知道	zhīdào	know
砖头	zhuāntóu	brick
秋千	qiūqiān	swing
稀烂	xīlàn	pulpy
稻	dào	rice
稻草	dàocǎo	straw
第二天	dì èr tiān	the next day
篮子	lánzi	basket
紧	jǐn	tight
红苹果	hóng píngguǒ	red apple
结实	jiēshi	solid
给	gěi	give
继续	jìxù	carry on
美味	měiwèi	delicious
美餐	měicān	meal
聪明	cōngmíng	clever
背着	bèizhe	carrying
能	néng	can
自己	zìjǐ	own
苹果	píngguǒ	apple
苹果树	píngguǒ shù	apple tree
草	cǎo	grass
荡	dàng	swing
菜地	cài dì	vegetable field
萝卜	luóbo	radish
让我进来	ràng wǒ jìnlái	let me in
说	shuō	say
请问	qǐngwèn	excuse me
走	zǒu	go
走来	zǒu lái	come
赶回	gǎn huí	rush back
赶忙	gǎnmáng	quickly
越	yuè	more
跑	pǎo	run
跑回	pǎo huí	run back
跑进	pǎo jìn	run into
路	lù	road
跳出来	tiào chūlái	jump out
跳进	tiào jìn	jump into
迅速	xùnsù	rapid
还	hái	also
这些	zhèxiē	these ones
这所	zhè suǒ	this
这是	zhè shì	this is
这里	zhèlǐ	here
进来	jìnlái	come in
远地方忙	yuǎn dìfāng máng	far away
遇到	yù dào	encounter
道路	dàolù	the way
遥远	yáoyuǎn	distant
那	nà	that
那么	nàme	then
那是	nà shì	that is
那里	nàlǐ	there
都结实	dōu jiēshi	strong
钟时	zhōng shí	clock time
锅	guō	pot
锅盖	guō gài	pot lid
长到	zhǎng dào	long
长大	zhǎng dà	grow up
问道	wèn dào	ask
间才	jiān cái	only
集市	jí shì	market
非常	fēicháng	very much
